season,driver_id,driver_final_pts,driver_final_pos,driver_season_wins,constructor_id_drv
2010,vettel,256.0,1,5,red_bull
2010,alonso,252.0,2,5,ferrari
2010,webber,242.0,3,4,red_bull
2010,hamilton,240.0,4,3,mclaren
2010,button,214.0,5,2,mclaren
2010,massa,144.0,6,0,ferrari
2010,rosberg,142.0,7,0,mercedes
2010,kubica,136.0,8,0,renault
2010,michael_schumacher,72.0,9,0,mercedes
2010,barrichello,47.0,10,0,williams
2010,sutil,47.0,11,0,force_india
2010,kobayashi,32.0,12,0,sauber
2010,petrov,27.0,13,0,renault
2010,hulkenberg,22.0,14,0,williams
2010,liuzzi,21.0,15,0,force_india
2010,buemi,8.0,16,0,toro_rosso
2010,rosa,6.0,17,0,sauber
2010,heidfeld,6.0,18,0,sauber
2010,alguersuari,5.0,19,0,toro_rosso
2010,kovalainen,0.0,20,0,lotus_racing
2010,trulli,0.0,21,0,lotus_racing
2010,chandhok,0.0,22,0,hrt
2010,bruno_senna,0.0,23,0,hrt
2010,grassi,0.0,24,0,virgin
2010,glock,0.0,25,0,virgin
2010,yamamoto,0.0,26,0,hrt
2010,klien,0.0,27,0,hrt
2011,vettel,392.0,1,11,red_bull
2011,button,270.0,2,3,mclaren
2011,webber,258.0,3,1,red_bull
2011,alonso,257.0,4,1,ferrari
2011,hamilton,227.0,5,3,mclaren
2011,massa,118.0,6,0,ferrari
2011,rosberg,89.0,7,0,mercedes
2011,michael_schumacher,76.0,8,0,mercedes
2011,sutil,42.0,9,0,force_india
2011,petrov,37.0,10,0,renault
2011,heidfeld,34.0,11,0,renault
2011,kobayashi,30.0,12,0,sauber
2011,resta,27.0,13,0,force_india
2011,alguersuari,26.0,14,0,toro_rosso
2011,buemi,15.0,15,0,toro_rosso
2011,perez,14.0,16,0,sauber
2011,barrichello,4.0,17,0,williams
2011,bruno_senna,2.0,18,0,renault
2011,maldonado,1.0,19,0,williams
2011,rosa,0.0,20,0,sauber
2011,trulli,0.0,21,0,lotus_racing
2011,kovalainen,0.0,22,0,lotus_racing
2011,liuzzi,0.0,23,0,hrt
2011,ambrosio,0.0,24,0,virgin
2011,glock,0.0,25,0,virgin
2011,karthikeyan,0.0,26,0,hrt
2011,ricciardo,0.0,27,0,hrt
2011,chandhok,0.0,28,0,lotus_racing
2012,vettel,281.0,1,5,red_bull
2012,alonso,278.0,2,3,ferrari
2012,raikkonen,207.0,3,1,lotus_f1
2012,hamilton,190.0,4,4,mclaren
2012,button,188.0,5,3,mclaren
2012,webber,179.0,6,2,red_bull
2012,massa,122.0,7,0,ferrari
2012,grosjean,96.0,8,0,lotus_f1
2012,rosberg,93.0,9,1,mercedes
2012,perez,66.0,10,0,sauber
2012,hulkenberg,63.0,11,0,force_india
2012,kobayashi,60.0,12,0,sauber
2012,michael_schumacher,49.0,13,0,mercedes
2012,resta,46.0,14,0,force_india
2012,maldonado,45.0,15,1,williams
2012,bruno_senna,31.0,16,0,williams
2012,vergne,16.0,17,0,toro_rosso
2012,ricciardo,10.0,18,0,toro_rosso
2012,petrov,0.0,19,0,caterham
2012,glock,0.0,20,0,marussia
2012,pic,0.0,21,0,marussia
2012,kovalainen,0.0,22,0,caterham
2012,ambrosio,0.0,23,0,lotus_f1
2012,karthikeyan,0.0,24,0,hrt
2012,rosa,0.0,25,0,hrt
2013,vettel,397.0,1,13,red_bull
2013,alonso,242.0,2,2,ferrari
2013,webber,199.0,3,0,red_bull
2013,hamilton,189.0,4,1,mercedes
2013,raikkonen,183.0,5,1,lotus_f1
2013,rosberg,171.0,6,2,mercedes
2013,grosjean,132.0,7,0,lotus_f1
2013,massa,112.0,8,0,ferrari
2013,button,73.0,9,0,mclaren
2013,hulkenberg,51.0,10,0,sauber
2013,perez,49.0,11,0,mclaren
2013,resta,48.0,12,0,force_india
2013,sutil,29.0,13,0,force_india
2013,ricciardo,20.0,14,0,toro_rosso
2013,vergne,13.0,15,0,toro_rosso
2013,gutierrez,6.0,16,0,sauber
2013,bottas,4.0,17,0,williams
2013,maldonado,1.0,18,0,williams
2013,jules_bianchi,0.0,19,0,marussia
2013,pic,0.0,20,0,caterham
2013,garde,0.0,21,0,caterham
2013,kovalainen,0.0,22,0,lotus_f1
2013,chilton,0.0,23,0,marussia
2014,hamilton,384.0,1,11,mercedes
2014,rosberg,317.0,2,5,mercedes
2014,ricciardo,238.0,3,3,red_bull
2014,bottas,186.0,4,0,williams
2014,vettel,167.0,5,0,red_bull
2014,alonso,161.0,6,0,ferrari
2014,massa,134.0,7,0,williams
2014,button,126.0,8,0,mclaren
2014,hulkenberg,96.0,9,0,force_india
2014,perez,59.0,10,0,force_india
2014,kevin_magnussen,55.0,11,0,mclaren
2014,raikkonen,55.0,12,0,ferrari
2014,vergne,22.0,13,0,toro_rosso
2014,grosjean,8.0,14,0,lotus_f1
2014,kvyat,8.0,15,0,toro_rosso
2014,maldonado,2.0,16,0,lotus_f1
2014,jules_bianchi,2.0,17,0,marussia
2014,sutil,0.0,18,0,sauber
2014,ericsson,0.0,19,0,caterham
2014,gutierrez,0.0,20,0,sauber
2014,chilton,0.0,21,0,marussia
2014,kobayashi,0.0,22,0,caterham
2014,stevens,0.0,23,0,caterham
2014,lotterer,0.0,20,0,caterham
2015,hamilton,381.0,1,10,mercedes
2015,rosberg,322.0,2,6,mercedes
2015,vettel,278.0,3,3,ferrari
2015,raikkonen,150.0,4,0,ferrari
2015,bottas,136.0,5,0,williams
2015,massa,121.0,6,0,williams
2015,kvyat,95.0,7,0,red_bull
2015,ricciardo,92.0,8,0,red_bull
2015,perez,78.0,9,0,force_india
2015,hulkenberg,58.0,10,0,force_india
2015,grosjean,51.0,11,0,lotus_f1
2015,max_verstappen,49.0,12,0,toro_rosso
2015,nasr,27.0,13,0,sauber
2015,maldonado,27.0,14,0,lotus_f1
2015,sainz,18.0,15,0,toro_rosso
2015,button,16.0,16,0,mclaren
2015,alonso,11.0,17,0,mclaren
2015,ericsson,9.0,18,0,sauber
2015,merhi,0.0,19,0,manor
2015,rossi,0.0,20,0,manor
2015,stevens,0.0,21,0,manor
2015,kevin_magnussen,0.0,20,0,mclaren
2016,rosberg,385.0,1,9,mercedes
2016,hamilton,380.0,2,10,mercedes
2016,ricciardo,256.0,3,1,red_bull
2016,vettel,212.0,4,0,ferrari
2016,max_verstappen,204.0,5,1,toro_rosso
2016,raikkonen,186.0,6,0,ferrari
2016,perez,101.0,7,0,force_india
2016,bottas,85.0,8,0,williams
2016,hulkenberg,72.0,9,0,force_india
2016,alonso,54.0,10,0,mclaren
2016,massa,53.0,11,0,williams
2016,sainz,46.0,12,0,toro_rosso
2016,grosjean,29.0,13,0,haas
2016,kvyat,25.0,14,0,red_bull
2016,button,21.0,15,0,mclaren
2016,kevin_magnussen,7.0,16,0,renault
2016,nasr,2.0,17,0,sauber
2016,jolyon_palmer,1.0,18,0,renault
2016,wehrlein,1.0,19,0,manor
2016,vandoorne,1.0,20,0,mclaren
2016,gutierrez,0.0,21,0,haas
2016,ericsson,0.0,22,0,sauber
2016,ocon,0.0,23,0,manor
2016,haryanto,0.0,24,0,manor
2017,hamilton,363.0,1,9,mercedes
2017,vettel,317.0,2,5,ferrari
2017,bottas,305.0,3,3,mercedes
2017,raikkonen,205.0,4,0,ferrari
2017,ricciardo,200.0,5,1,red_bull
2017,max_verstappen,168.0,6,2,red_bull
2017,perez,100.0,7,0,force_india
2017,ocon,87.0,8,0,force_india
2017,sainz,54.0,9,0,toro_rosso
2017,hulkenberg,43.0,10,0,renault
2017,massa,43.0,11,0,williams
2017,stroll,40.0,12,0,williams
2017,grosjean,28.0,13,0,haas
2017,kevin_magnussen,19.0,14,0,haas
2017,alonso,17.0,15,0,mclaren
2017,vandoorne,13.0,16,0,mclaren
2017,jolyon_palmer,8.0,17,0,renault
2017,wehrlein,5.0,18,0,sauber
2017,kvyat,5.0,19,0,toro_rosso
2017,ericsson,0.0,20,0,sauber
2017,gasly,0.0,21,0,toro_rosso
2017,giovinazzi,0.0,22,0,sauber
2017,brendon_hartley,0.0,23,0,toro_rosso
2017,button,0.0,20,0,mclaren
2017,resta,0.0,20,0,williams
2018,hamilton,408.0,1,11,mercedes
2018,vettel,320.0,2,5,ferrari
2018,raikkonen,251.0,3,1,ferrari
2018,max_verstappen,249.0,4,2,red_bull
2018,bottas,247.0,5,0,mercedes
2018,ricciardo,170.0,6,2,red_bull
2018,hulkenberg,69.0,7,0,renault
2018,perez,62.0,8,0,force_india
2018,kevin_magnussen,56.0,9,0,haas
2018,sainz,53.0,10,0,renault
2018,alonso,50.0,11,0,mclaren
2018,ocon,49.0,12,0,force_india
2018,leclerc,39.0,13,0,sauber
2018,grosjean,37.0,14,0,haas
2018,gasly,29.0,15,0,toro_rosso
2018,vandoorne,12.0,16,0,mclaren
2018,ericsson,9.0,17,0,sauber
2018,stroll,6.0,18,0,williams
2018,brendon_hartley,4.0,19,0,toro_rosso
2018,sirotkin,1.0,20,0,williams
2019,hamilton,413.0,1,11,mercedes
2019,bottas,326.0,2,4,mercedes
2019,max_verstappen,278.0,3,3,red_bull
2019,leclerc,264.0,4,2,ferrari
2019,vettel,240.0,5,1,ferrari
2019,sainz,96.0,6,0,mclaren
2019,gasly,95.0,7,0,red_bull
2019,albon,92.0,8,0,toro_rosso
2019,ricciardo,54.0,9,0,renault
2019,perez,52.0,10,0,racing_point
2019,norris,49.0,11,0,mclaren
2019,raikkonen,43.0,12,0,alfa
2019,kvyat,37.0,13,0,toro_rosso
2019,hulkenberg,37.0,14,0,renault
2019,stroll,21.0,15,0,racing_point
2019,kevin_magnussen,20.0,16,0,haas
2019,giovinazzi,14.0,17,0,alfa
2019,grosjean,8.0,18,0,haas
2019,kubica,1.0,19,0,williams
2019,russell,0.0,20,0,williams
2020,hamilton,347.0,1,11,mercedes
2020,bottas,223.0,2,2,mercedes
2020,max_verstappen,214.0,3,2,red_bull
2020,perez,125.0,4,1,racing_point
2020,ricciardo,119.0,5,0,renault
2020,sainz,105.0,6,0,mclaren
2020,albon,105.0,7,0,red_bull
2020,leclerc,98.0,8,0,ferrari
2020,norris,97.0,9,0,mclaren
2020,gasly,75.0,10,1,alphatauri
2020,stroll,75.0,11,0,racing_point
2020,ocon,62.0,12,0,renault
2020,vettel,33.0,13,0,ferrari
2020,kvyat,32.0,14,0,alphatauri
2020,hulkenberg,10.0,15,0,racing_point
2020,raikkonen,4.0,16,0,alfa
2020,giovinazzi,4.0,17,0,alfa
2020,russell,3.0,18,0,williams
2020,grosjean,2.0,19,0,haas
2020,kevin_magnussen,1.0,20,0,haas
2020,latifi,0.0,21,0,williams
2020,aitken,0.0,22,0,williams
2020,pietro_fittipaldi,0.0,23,0,haas
2021,max_verstappen,395.5,1,10,red_bull
2021,hamilton,387.5,2,8,mercedes
2021,bottas,226.0,3,1,mercedes
2021,perez,190.0,4,1,red_bull
2021,sainz,164.5,5,0,ferrari
2021,norris,160.0,6,0,mclaren
2021,leclerc,159.0,7,0,ferrari
2021,ricciardo,115.0,8,1,mclaren
2021,gasly,110.0,9,0,alphatauri
2021,alonso,81.0,10,0,alpine
2021,ocon,74.0,11,1,alpine
2021,vettel,43.0,12,0,aston_martin
2021,stroll,34.0,13,0,aston_martin
2021,tsunoda,32.0,14,0,alphatauri
2021,russell,16.0,15,0,williams
2021,raikkonen,10.0,16,0,alfa
2021,latifi,7.0,17,0,williams
2021,giovinazzi,3.0,18,0,alfa
2021,mick_schumacher,0.0,19,0,haas
2021,kubica,0.0,20,0,alfa
2021,mazepin,0.0,21,0,haas
2022,max_verstappen,454.0,1,15,red_bull
2022,leclerc,308.0,2,3,ferrari
2022,perez,305.0,3,2,red_bull
2022,russell,275.0,4,1,mercedes
2022,sainz,246.0,5,1,ferrari
2022,hamilton,240.0,6,0,mercedes
2022,norris,122.0,7,0,mclaren
2022,ocon,92.0,8,0,alpine
2022,alonso,81.0,9,0,alpine
2022,bottas,49.0,10,0,alfa
2022,ricciardo,37.0,11,0,mclaren
2022,vettel,37.0,12,0,aston_martin
2022,kevin_magnussen,25.0,13,0,haas
